element_id,element_classes,element_target,target_url,page_url,dvce_created_tstamp
,[],,http://sdba.org.sg/,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Singapore-Coach-Excellence-Programme-SG-Coach/SG-Coach-Technical-Programme-Accreditation,2020-01-01 03:31:05.317000
,"[""job-link""]",,https://www.sportsingapore.gov.sg/Careers/Job-Listings?job=536176,https://www.sportsingapore.gov.sg/Careers/Job-Listings?job=536176,2020-01-01 04:05:43.667000
,[],_blank,http://www.myactivesg.com/facilities,https://www.sportsingapore.gov.sg/,2020-01-01 04:06:06.209000
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/national-sports-associations#,https://www.sportsingapore.gov.sg/national-sports-associations,2020-01-01 04:08:42.449000
ctl22_repeater_innerRepeater_4_innerRepeater_1_link_2,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Singapore-Coach-Excellence-Programme-SG-Coach/SG-Coach-Technical-Programme-Accreditation,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Singapore-Coach-Excellence-Programme-SG-Coach/SG-Coach-Level-1-Theory-Programme,2020-01-01 04:12:02.015000
content_0_calLink,"[""add-calendar""]",,https://www.sportsingapore.gov.sg/sublayouts/Corporate/Course Calendar/?ci=B55D7D1BF12244C4B520FE785E3CE63F,https://www.sportsingapore.gov.sg/Athletes-Coaches/Course-Calendar/2020/2nd-International-Swim-Schools-TEACH-Seminar,2020-01-01 04:23:40.244000
,[],,https://www.sportsingapore.gov.sg/-/media/SSC/Corporate/Files/Athletes-and-Coaches/For-Coaches/Coach-Development/National-Coaching-Accreditation-Programme/form-NCAP-Cert-Replacement.docx?la=en&hash=915622D8824B6E3E6D3E8D36FDEE2A9629D20AF6,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/singapore-coach-excellence-programme-sg-coach/replacement-of-lost-certificate,2020-01-01 05:41:45.363000
,[],_blank,http://www.myactivesg.com/facilities,https://www.sportsingapore.gov.sg/,2020-01-01 06:07:04.706000
ctl22_repeater_innerRepeater_4_innerRepeater_1_link_0,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Singapore-Coach-Excellence-Programme-SG-Coach/Basic-Sports-Science-Course,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Singapore-Coach-Excellence-Programme-SG-Coach/SG-Coach-Technical-Programme-Accreditation,2020-01-01 06:25:59.024000
,"[""dd-toggle""]",,https://www.sportsingapore.gov.sg/search?q=&cx=ssc#,https://www.sportsingapore.gov.sg/search?q=&cx=ssc,2020-01-01 07:06:58.639000
,[],_blank,http://www.myactivesg.com/facilities,https://www.sportsingapore.gov.sg/,2020-01-01 07:55:19.985000
,[],,http://www.sportsync.sg/,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/national-registry-of-coaches/how-to-be-an-nroc-coach,2020-01-01 08:14:46.279000
,"[""waves-effect"",""waves-light"",""btn-large"",""btnm""]",,https://www.sportsingapore.gov.sg/SportCares/Play-Ability,https://www.sportsingapore.gov.sg/sportcares/for-at-risk-youth,2020-01-01 08:40:05.526000
,"[""job-link""]",,https://www.sportsingapore.gov.sg/careers/job-listings?job=536137,https://www.sportsingapore.gov.sg/careers/job-listings?job=536137,2020-01-01 09:04:03.801000
,[],_blank,https://www.myactivesg.com/,https://www.sportsingapore.gov.sg/,2020-01-01 09:04:05.526000
content_0_repeater_moreLink_0,"[""icn-readmore""]",,https://www.sportsingapore.gov.sg/Careers/Job-Listings,https://www.sportsingapore.gov.sg/Careers,2020-01-01 09:08:50.484000
,"[""dd-toggle""]",,https://www.sportsingapore.gov.sg/Sports-Education#,https://www.sportsingapore.gov.sg/Sports-Education,2020-01-01 09:12:38.682000
,[],,https://www.sportsingapore.gov.sg/,https://www.sportsingapore.gov.sg/About-Us,2020-01-01 09:13:02.738000
content_0_repeater_moreLink_0,"[""icn-readmore""]",,https://www.sportsingapore.gov.sg/Athletes-Coaches/Singapore-Sport-Institute/High-Performance-Sport,https://www.sportsingapore.gov.sg/Athletes-Coaches/Singapore-Sport-Institute,2020-01-01 09:16:38.482000
,"[""job-link""]",,https://www.sportsingapore.gov.sg/Careers/Job-Listings?job=536137,https://www.sportsingapore.gov.sg/Careers/Job-Listings?job=536137,2020-01-01 09:23:25.589000
,[],,https://www.sportsingapore.gov.sg/-/media/SSC/Corporate/Files/Athletes-and-Coaches/For-Coaches/National-Registry-of-Coaches/Usage-of-Sports-Hub-Library/Event-Planner-Revise-(1).docx?la=en&hash=A21180C2A790125C07213D7DDEB4570B00381896,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/national-registry-of-coaches/usage-of-sports-hub-library,2020-01-01 09:33:56.487000
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/newsroom/media-releases/2014/4/activesg100-for-every-singaporean-to-play-sport#,https://www.sportsingapore.gov.sg/newsroom/media-releases/2014/4/activesg100-for-every-singaporean-to-play-sport,2020-01-01 10:27:26.552000
ctl22_repeater_link_3,[],,https://www.sportsingapore.gov.sg/SportCares/Partnerships,https://www.sportsingapore.gov.sg/SportCares/Partnerships#NSA,2020-01-01 10:38:02.975000
,"[""job-link""]",,https://www.sportsingapore.gov.sg/careers/job-listings?job=537037,https://www.sportsingapore.gov.sg/careers/job-listings?job=537037,2020-01-01 11:30:27.234000
,[],,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/national-registry-of-coaches,https://www.sportsingapore.gov.sg/Athletes-Coaches/CoachSG,2020-01-01 11:33:11.830000
